release_id,original_title,english_title,type,date,discogs_id
sn121204,Amsterdam,Amsterdam,Single,2012-12-04,r11820636
ab130407,Дочери,The Daughters,Album,2013-04-07,m1240078
ep130714,Дочери (B-sides),The Daughters (B-sides),EP,2013-07-14,m1343257
ep150226,Новокузнецк,Novokuznetsk,EP,2015-02-26,m1343274
sn151012,Ma Russie,Ma Russie,Single,2015-10-12,r11820799
sn170221,ТуТу,TuTu,Single,2017-02-21,r11820813
ab170315,Пасха,Easter,Album,2017-03-15,m1527519
sn180301,Стыд,Shame,Single,2018-03-01,r11822094
sn181212,Страшно,Scary,Single,2018-12-12,r12953051
ab191101,Так закалялась сталь,Thus the Steel Was Tempered,Album,2019-11-01,r14367858
sn200910,КоКоКо / Cтруктуры Не Выходят На Улицы,CluckCluckCluck (Structures Don’t Take To The Streets),Single,2020-09-10,r15897665
sn210429,Говорит Москва,This is Moscow Talking,Single,2021-04-29,r18541192
sn210114,Эта ночь непоправима,This Night is Irredeemable,Song on compilation album,2021-01-14,
ab210625,Яблонный сад,Apple Orchard,Album,2021-06-25,r19269127